,Name,Symbol,NSE symbol,URL
HAVELLS,Havells India,HI01,HAVELLS,/india/stockpricequote/electricequipment/havellsindia/HI01
HCLTECH,HCL Tech,HCL02,HCLTECH,/india/stockpricequote/computerssoftware/hcltechnologies/HCL02
HDFC,HDFC,HDF,HDFC,/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF
HDFCAMC,HDFC AMC,HAM02,HDFCAMC,/india/stockpricequote/financeinvestments/hdfcassetmanagementcompany/HAM02
HDFCBANK,HDFC Bank,HDF01,HDFCBANK,/india/stockpricequote/banksprivatesector/hdfcbank/HDF01
HDFCLIFE,HDFC Life,HSL01,HDFCLIFE,/india/stockpricequote/lifehealthinsurance/hdfclifeinsurancecompany/HSL01
HEG,HEG,HEG,HEG,/india/stockpricequote/electrodesgraphite/heg/HEG
HEROMOTOCO,Hero Motocorp,HHM,HEROMOTOCO,/india/stockpricequote/auto23wheelers/heromotocorp/HHM
HFCL,HFCL,HFC,HFCL,/india/stockpricequote/telecommunicationsequipment/hfcl/HFC
HSCL,Himadri Special,HCI01,HSCL,/india/stockpricequote/chemicals/himadrispecialitychemical/HCI01
HINDCOPPER,Hind Copper,HC07,HINDCOPPER,/india/stockpricequote/metalsnonferrous/hindustancopper/HC07
HINDZINC,Hind Zinc,HZ,HINDZINC,/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ
HAL,Hindustan Aeron,HAL,HAL,/india/stockpricequote/diversified/hindustanaeronauticsltd/HAL
HPAL,Honeywell Autom,HA04,HPAL,/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04
HINDPETRO,HPCL,HPC,HINDPETRO,/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC
HUDCO,HUDCO,HUD,HUDCO,/india/stockpricequote/constructioncontractingrealestate/housingurbandevelopmentcorporation/HUD
HUHTAMAKI,Huhtamaki India,PP,HUHTAMAKI,/india/stockpricequote/packaging/huhtamakiindia/PP
ICICIBANK,ICICI Bank,ICI02,ICICIBANK,/india/stockpricequote/banksprivatesector/icicibank/ICI02
ICICIGI,ICICI Lombard ,ILG,ICICIGI,/india/stockpricequote/lifehealthinsurance/icicilombardgeneralinsurancecompany/ILG
ICICIPRULI,ICICI Prudentia,IPL01,ICICIPRULI,/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01
ABCEDSWA,IDBI Bank,IDB05,ABCEDSWA,/india/stockpricequote/bankprivate/idbibank/IDB05
IDFC,IDFC,IDF,IDFC,/india/stockpricequote/financetermlendinginstitutions/idfc/IDF
IDFCFIRSTB,IDFC First Bank,IDF01,IDFCFIRSTB,/india/stockpricequote/bankprivate/idfcfirstbank/IDF01
IEX,IEX,IEE,IEX,/india/stockpricequote/diversified/indianenergyexchange/IEE
IFBIND,IFB Industries,IFB02,IFBIND,/india/stockpricequote/consumergoodswhitegoods/ifbindustries/IFB02
IGL,IGL,IG04,IGL,/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
IIFL,IIFL Finance,II15,IIFL,/india/stockpricequote/financegeneral/iiflfinance/II15
INDIACEM,India Cements,IC,INDIACEM,/india/stockpricequote/cementmajor/indiacements/IC
IBULHSGFIN,Indiabulls Hsg,IHF01,IBULHSGFIN,/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01
IBREALEST,Indiabulls Real,IRE01,IBREALEST,/india/stockpricequote/constructioncontractingrealestate/indiabullsrealestate/IRE01
INDIANB,Indian Bank,IB04,INDIANB,/india/stockpricequote/bankspublicsector/indianbank/IB04
INDHOTEL,Indian Hotels,IHC,INDHOTEL,/india/stockpricequote/hotels/indianhotelscompany/IHC
ICIL,Indo Count,ICI07,ICIL,/india/stockpricequote/textilesspinningcottonblended/indocountindustries/ICI07
INDOCO,Indoco Remedies,IR05,INDOCO,/india/stockpricequote/pharmaceuticals/indocoremedies/IR05
INDUSINDBK,IndusInd Bank,IIB,INDUSINDBK,/india/stockpricequote/banksprivatesector/indusindbank/IIB
INFIBEAM,Infibeam Avenue,IIL03,INFIBEAM,/india/stockpricequote/miscellaneous/infibeamavenues/IIL03
NAUKRI,Info Edge,IEI01,NAUKRI,/india/stockpricequote/miscellaneous/infoedgeindia/IEI01
INFY,Infosys,IT,INFY,/india/stockpricequote/computerssoftware/infosys/IT
INGERRAND,Ingersoll Rand,IRI01,INGERRAND,/india/stockpricequote/compressors/ingersollrandindia/IRI01
INOXLEISUR,INOX Leisure,INO01,INOXLEISUR,/india/stockpricequote/mediaentertainment/inoxleisure/INO01
INTELLECT,Intellect Desig,IDA,INTELLECT,/india/stockpricequote/computerssoftware/intellectdesignarena/IDA
IOB,IOB,IOB,IOB,/india/stockpricequote/bankspublicsector/indianoverseasbank/IOB
IOC,IOC,IOC,IOC,/india/stockpricequote/refineries/indianoilcorporation/IOC
IPCALAB,Ipca Labs,IL,IPCALAB,/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL
IRB,IRB Infra,IID01,IRB,/india/stockpricequote/infrastructuregeneral/irbinfrastructuredevelopers/IID01
IRCTC,IRCTC,IRC,IRCTC,/india/stockpricequote/miscellaneous/irctcindianrailwaycateringtourismcorp/IRC
ITC,ITC,ITC,ITC,/india/stockpricequote/cigarettes/itc/ITC
ITI,ITI,ITI,ITI,/india/stockpricequote/telecommunicationsequipment/iti/ITI
